AA010,8767,"SUSSEX / RIDEAU FALLS",45.439879,-75.695844
AA020,6859,"SUSSEX / RIDEAU FALLS",45.439581,-75.695695
AA030,7001,"SUSSEX / ALEXANDER",45.442868,-75.693564
AA035,8762,"ALEXANDER / THOMAS",45.442806,-75.692325
AA040,7000,"JOHN / SUSSEX",45.442562,-75.693505
AA050,7002,"ALEXANDER / CHARLES",45.442539,-75.691511
AA060,8766,"CRICHTON / CHARLES",45.442231,-75.691221
AA070,7003,"CRICHTON / UNION",45.441682,-75.689964
AA080,7005,"CRICHTON / UNION",45.441715,-75.689529
AA090,7004,"CRICHTON / VICTORIA",45.441148,-75.688271
AA100,7006,"CRICHTON / VICTORIA",45.441173,-75.687939
AA110,7007,"CRICHTON / KEEFER",45.440741,-75.686615
AA120,8763,"CRICHTON / KEEFER",45.440399,-75.685756
AA130,7008,"CRICHTON / DUFFERIN",45.439590,-75.682989
AA140,8765,"CRICHTON / THE MEWS",45.439650,-75.682643
AA150,7010,"CRICHTON / ELECTRIC",45.439091,-75.679954
AA160,7009,"CRICHTON / ELECTRIC",45.438893,-75.679880
AA170,8764,"CRICHTON / BEECHWOOD",45.438612,-75.678427
AA180,7011,"CRICHTON / BEECHWOOD",45.438766,-75.678514
AA210,8922,"BEECHWOOD / MACKAY",45.439490,-75.676929
AA221,8794,"BEECHWOOD / LOYER",45.440049,-75.675699
AA231,8795,"BEECHWOOD / ST CHARLES",45.441164,-75.673624
AA240,8790,"BEECHWOOD / ST CHARLES",45.441154,-75.674057
AA251,1649,"BEECHWOOD / MARIER",45.442197,-75.671357
AA260,7015,"BEECHWOOD / ACACIA",45.442329,-75.671433
AA270,7013,"BEECHWOOD / JOLLIET",45.444136,-75.670294
AA280,8797,"BEECHWOOD / CORONA",45.444071,-75.670537
AA300,7016,"BEECHWOOD / JULIANA",45.445864,-75.669501
AA310,8796,"BEECHWOOD / JULIANA",45.445897,-75.669181
AA320,7017,"HEMLOCK / LANSDOWNE",45.447638,-75.668453
AA325,7018,"HEMLOCK / WHITEMARL",45.448842,-75.665801
AA330,7019,"HEMLOCK / LANSDOWNE",45.447599,-75.668082
AA335,7020,"HEMLOCK / WHITEMARL",45.448774,-75.665035
AA340,8788,"SPRINGFIELD / BEECHWOOD",45.440053,-75.676328
AA350,7021,"SPRINGFIELD / PUTMAN",45.442010,-75.676826
AA360,7022,"SPRINGFIELD / RIDEAU",45.443679,-75.677190
AA370,7023,"SPRINGFIELD / LINDENLEA",45.444913,-75.677441
AA380,8789,"MAPLE LANE / SPRINGFIELD",45.446327,-75.677599
AA390,7024,"MAPLE LANE / ELMDALE",45.446550,-75.674886
AA400,7025,"MAPLE LANE / ACACIA",45.446709,-75.673132
AA410,7026,"ACACIA / RIDEAU",45.444571,-75.672435
AB050,2309,"LOYER / BARRETE",45.439698,-75.675071
AB055,1697,"BARETTE / ST-CHARLES",45.440390,-75.673444
AB060,1650,"MARIER / BEECHWOOD",45.441973,-75.671501
AB065,7263,"MARIER / BARRETTE",45.441915,-75.670965
AB070,7029,"MARIER / GENEST",45.441176,-75.669043
AB075,7264,"MARIER / GENEST",45.441055,-75.669086
AB080,7027,"MARIER / LONGPRE",45.439536,-75.664436
AB085,7028,"MARIER / LONGPRE",45.439419,-75.664644
AB100,8752,"DES PÈRES BLANCS / MARIER",45.440050,-75.665714
AB110,8995,"DES PÈRES BLANCS / MARIER",45.440173,-75.665367
AB120,7034,"DES PÈRES BLANCS / MARQUETTE",45.440860,-75.664577
AB130,7035,"DES PÈRES BLANCS / LONGPRÉ",45.440788,-75.664527
AB185,839,"DES PÈRES BLANCS / LEBRUN",45.442712,-75.661801
AB195,1890,"DES PÈRES BLANCS / LEBRUN",45.442358,-75.662512
AB200,7040,"300 DES PÈRES BLANCS",45.444348,-75.660157
AB310,7046,"MONTFORT / ALFRED",45.439448,-75.656059
AB330,8745,"MONTFORT / STE ANNE",45.439118,-75.658914
AB360,7047,"MONTFORT / PARK",45.438911,-75.661397
AB370,7048,"MONTFORT / MARIER",45.438806,-75.663009
AB380,7050,"MARIER / MONTFORT",45.438869,-75.663529
AB385,7110,"MARIER / MONFORT",45.438617,-75.663020
AB390,7111,"MARIER / DESCHAMPS",45.437100,-75.662178
AB395,7112,"MARIER / DESCHAMPS",45.437195,-75.661897
AB450,8944,"VANIER / PATHWAY",45.437735,-75.674030
AB455,1398,"VANIER / PATHWAY",45.437481,-75.673855
AB456,6579,"VANIER / MEILLEUR",45.437316,-75.671523
AB458,6580,"VANIER / MEILLEUR",45.437155,-75.671594
AB460,7051,"VANIER / DESCHAMPS",45.436563,-75.669052
AB470,8775,"VANIER / DESCHAMPS",45.436553,-75.669601
AB480,7052,"VANIER / MONTRÉAL",45.435088,-75.666426
AB490,8781,"MONTRÉAL / NORTH RIVER",45.433077,-75.669524
AB500,1575,"MONTRÉAL / MONTGOMERY",45.433232,-75.668664
AB510,8783,"MONTRÉAL / VANIER",45.434234,-75.666548
AB520,7053,"MONTRÉAL / VANIER",45.434232,-75.666096
AB530,8947,"MONTRÉAL / EMOND",45.435224,-75.664149
AB550,8784,"MONTRÉAL / OLMSTEAD",45.435913,-75.662400
AB570,7055,"MONTRÉAL / MARIER",45.436514,-75.660845
AB580,7057,"MONTRÉAL / BEGIN",45.436315,-75.660733
AB600,7058,"MONTRÉAL / LACASSE",45.437259,-75.658213
AB611,1279,"MONTRÉAL / BRADLEY",45.437323,-75.658618
AB650,8741,"MONTRÉAL / CANTIN",45.439050,-75.653278
AB670,8739,"MONTRÉAL / DE L'EGLISE",45.439675,-75.651403
AB690,927,"MONTRÉAL / NOTRE DAME CEMETERY",45.440310,-75.649681
AC010,8723,"MCARTHUR / VANIER",45.431265,-75.662942
AC020,8773,"MCARTHUR / VANIER",45.431059,-75.663111
AC030,7061,"MCARTHUR / OLMSTEAD",45.431239,-75.660642
AC035,8774,"MCARTHUR / OLMSTEAD",45.431442,-75.660025
AC050,8932,"MCARTHUR / ALLEN",45.431532,-75.656911
AC060,7063,"MCARTHUR / LACASSE",45.431715,-75.656788
AC080,8615,"MCARTHUR / LAFONTAINE",45.431809,-75.654920
AC090,7064,"MCARTHUR / LAFONTAINE",45.431678,-75.654271
AC100,7065,"MCARTHUR / EASTWOOD",45.431966,-75.653039
AC110,8600,"MCARTHUR / IRWIN MILLER",45.431817,-75.652428
AC120,7066,"MCARTHUR / BRANT",45.432097,-75.650060
AC130,7067,"MCARTHUR / BRANT",45.431985,-75.650107
AC140,8605,"MCARTHUR / DE L'ÉGLISE",45.432265,-75.647866
AC150,8662,"MCARTHUR / MOORVALE",45.432145,-75.647876
AC180,7069,"MCARTHUR / ST LAURENT",45.432612,-75.643189
AC190,7070,"MCARTHUR / MAY",45.432343,-75.644816
AC195,8280,"OLMSTEAD / MCARTHUR",45.431609,-75.660497
AC200,8282,"OLMSTEAD / JEANNE-MANCE",45.433013,-75.660534
AC205,8283,"OLMSTEAD / HERITAGE MAPLE",45.432828,-75.660942
AC210,8284,"OLMSTEAD / MONTRÉAL",45.435663,-75.662178
AC215,8285,"OLMSTEAD / MONTRÉAL",45.435554,-75.662459
AD010,7080,"VANIER / COVENTRY",45.420935,-75.658073
AD020,7081,"VANIER / COVENTRY",45.421816,-75.659146
AD030,8175,"VANIER / PRESLAND",45.422590,-75.661348
AD040,8174,"VANIER / PRESLAND",45.422810,-75.661190
AD050,7082,"VANIER / QUEEN MARY",45.424367,-75.662375
AD060,7084,"VANIER / QUEEN MARY",45.424239,-75.662023
AD070,7083,"VANIER / DONALD",45.426946,-75.662967
AD080,8517,"VANIER / DONALD",45.427700,-75.662713
AD085,5700,"VANIER / MCARTHUR",45.430454,-75.664027
AD090,8770,"VANIER / MCARTHUR",45.431696,-75.664009
AD100,8945,"VANIER / MCARTHUR",45.431716,-75.664354
AD110,7085,"VANIER / MONTRÉAL",45.433994,-75.665752
AD135,1995,"MCARTHUR / NORTH RIVER",45.430708,-75.667998
AD140,8777,"MCARTHUR / MAYFIELD",45.431087,-75.665705
AD145,7086,"MCARTHUR / MAYFIELD",45.430871,-75.665683
AD200,8780,"NORTH RIVER / MONTRÉAL",45.432450,-75.669979
AD210,8786,"NORTH RIVER / SELKIRK",45.432006,-75.669474
AD220,7087,"NORTH RIVER / AD. 333",45.431285,-75.669434
AD230,7088,"NORTH RIVER / MCARTHUR",45.431229,-75.669090
AD260,8772,"NORTH RIVER / WASHINGTON",45.429470,-75.668489
AD265,8768,"NORTH RIVER / WASHINGTON",45.429297,-75.668198
AD270,7090,"NORTH RIVER / ONTARIO",45.427960,-75.667553
AD280,7089,"NORTH RIVER / ONTARIO",45.427899,-75.667746
AD300,1897,"NORTH RIVER / COLUMBUS",45.426291,-75.666951
AD310,8581,"NORTH RIVER / COLUMBUS",45.426154,-75.666711
AD320,7092,"QUEEN MARY / NORTH RIVER",45.424293,-75.665639
AD330,7328,"QUEEN MARY / NORTH RIVER",45.424165,-75.665347
AD340,7091,"QUEEN MARY / MARION",45.424264,-75.664195
AD350,7093,"QUEEN MARY / MARION",45.424451,-75.663899
AD360,8580,"QUEEN MARY / VANIER",45.424554,-75.661968
AD370,8576,"QUEEN MARY / VANIER",45.424444,-75.661714
AD380,7097,"QUEEN MARY / VERA",45.424533,-75.660319
AD390,7094,"QUEEN MARY / VERA",45.424719,-75.659895
AD391,9880,"QUEEN MARY / QUILL",45.424712,-75.657210
AD392,9881,"QUEEN MARY / QUILL",45.424954,-75.657213
AD393,9882,"QUEEN MARY / LOLA",45.425010,-75.652774
AD394,9883,"QUEEN MARY / LOLA",45.425287,-75.652844
AD395,9884,"QUEEN MARY / BERNARD",45.425754,-75.641786
AD440,8577,"DONALD / QUILL",45.427616,-75.657386
AD450,8579,"DONALD / QUILL",45.427776,-75.657166
AD460,7100,"DONALD / EDITH",45.427754,-75.655428
AD470,7103,"DONALD / EVE",45.427958,-75.654927
AD508,3578,"DONALD / TELFORD",45.428528,-75.646931
AD670,7113,"LOLA / PRESLAND",45.423336,-75.651737
AD680,7115,"LOLA / PRESLAND",45.423388,-75.651570
AD690,8589,"LOLA / COVENTRY",45.421998,-75.650965
AD700,7116,"LOLA / COVENTRY",45.421996,-75.650697
AD720,7118,"360 COVENTRY",45.421432,-75.647894
